iter	RMSE
0	3777.083188
1	3106.42767
2	2752.914494
3	2554.977768
4	2450.105137
5	2375.881932
6	2312.049929
7	2262.309358
8	2237.712545
9	2205.076338
10	2179.273058
11	2158.304402
12	2146.214952
13	2134.007469
14	2121.638256
15	2113.188173
16	2101.794538
17	2093.661711
18	2079.056937
19	2070.262238
20	2064.752833
21	2047.656151
22	2040.038186
23	2033.580697
24	2028.735262
25	2024.820978
26	2020.651308
27	2015.186881
28	2007.991025
29	2002.627595
30	1995.788229
31	1992.337949
32	1988.088152
33	1982.937777
34	1980.61971
35	1975.267236
36	1966.761034
37	1962.544715
38	1958.633686
39	1952.665094
40	1947.421617
41	1943.778243
42	1940.707932
43	1935.652405
44	1933.650577
45	1930.862723
46	1928.201568
47	1924.16937
48	1921.948458
49	1918.362773
50	1915.526932
51	1913.292523
52	1911.266422
53	1907.608537
54	1905.493722
55	1903.558662
56	1898.735495
57	1896.638299
58	1894.87918
59	1893.447205
60	1891.820396
61	1889.449527
62	1887.734859
63	1885.576481
64	1884.250398
65	1883.16529
66	1881.705603
67	1879.883188
68	1878.694698
69	1876.329734
70	1874.568727
71	1873.403958
72	1871.073462
73	1869.520597
74	1867.561799
75	1865.612082
76	1864.460737
77	1863.471761
78	1861.799245
79	1860.324424
80	1858.292456
81	1856.924832
82	1855.173083
83	1854.202363
84	1853.142855
85	1852.269587
86	1850.215554
87	1848.076234
88	1846.656893
89	1845.371101
90	1843.511464
91	1842.445849
92	1841.742983
93	1840.384737
94	1839.729836
95	1838.221947
96	1836.459082
97	1834.84615
98	1833.354019
99	1831.91565
100	1830.68028
101	1828.736109
102	1827.241854
103	1826.488575
104	1825.734192
105	1825.279752
106	1824.125282
107	1822.938477
108	1822.199085
109	1820.694904
110	1819.833339
111	1818.667533
112	1817.439576
113	1816.393322
114	1815.573201
115	1813.969875
116	1813.067165
117	1812.080231
118	1811.685574
119	1810.697134
120	1809.768707
121	1809.184882
122	1808.345436
123	1807.863073
124	1807.749737
125	1807.276201
126	1806.570669
127	1805.851587
128	1805.052825
129	1803.964125
130	1803.268401
131	1802.596608
132	1801.971924
133	1801.03217
134	1800.034575
135	1799.785128
136	1798.894502
137	1797.815281
138	1796.860827
139	1796.045965
140	1794.752214
141	1794.340164
142	1793.691243
143	1792.727567
144	1791.781048
145	1790.799068
146	1790.135503
147	1789.590686
148	1788.849532
149	1788.143758
