iter	Passed	Remaining
0	9	1360
1	15	1138
2	20	1027
3	26	964
4	31	923
5	37	895
6	42	871
7	48	857
8	53	837
9	59	829
10	64	818
11	69	804
12	74	789
13	80	777
14	85	768
15	90	757
16	95	749
17	101	743
18	106	736
19	112	733
20	117	723
21	123	719
22	129	713
23	134	705
24	139	696
25	145	691
26	150	684
27	155	678
28	160	671
29	167	669
30	173	664
31	179	661
32	184	654
33	190	650
34	195	642
35	201	636
36	207	632
37	213	628
38	218	622
39	224	616
40	229	610
41	234	604
42	240	598
43	246	593
44	251	586
45	256	580
46	261	574
47	267	568
48	272	562
49	278	556
50	283	551
51	289	545
52	294	539
53	301	535
54	306	529
55	312	524
56	318	519
57	325	516
58	331	510
59	336	505
60	343	501
61	350	496
62	356	492
63	363	488
64	368	481
65	375	477
66	383	474
67	391	472
68	397	466
69	405	462
70	411	457
71	417	451
72	424	447
73	430	441
74	436	436
75	444	432
76	450	427
77	457	422
78	464	417
79	470	411
80	476	405
81	481	399
82	488	394
83	493	388
84	501	383
85	507	377
86	512	371
87	520	366
88	526	360
89	531	354
90	537	348
91	542	341
92	547	335
93	552	329
94	557	322
95	563	316
96	568	310
97	573	304
98	579	298
99	584	292
100	589	286
101	595	280
102	600	274
103	606	268
104	611	262
105	617	256
106	623	250
107	628	244
108	634	238
109	639	232
110	645	226
111	650	220
112	656	215
113	661	209
114	667	203
115	673	197
116	678	191
117	684	185
118	689	179
119	694	173
120	700	167
121	705	161
122	711	156
123	716	150
124	721	144
125	727	138
126	733	132
127	739	127
128	744	121
129	749	115
130	755	109
131	760	103
132	765	97
133	771	92
134	776	86
135	781	80
136	786	74
137	793	68
138	798	63
139	804	57
140	810	51
141	816	46
142	822	40
143	827	34
144	833	28
145	838	22
146	844	17
147	850	11
148	856	5
149	861	0
